uid,civilite,prenom,nom,date_naissance,ville_naissance,profession_declaree,insee_cat_socpro,insee_fam_socpro,groupe_politique,departement,circonscription
PA332523,Mme,Marie-Christine,Dalloz,1958-01-10,Saint-Claude,retraitée,Sans profession déclarée,Sans profession déclarée,Droite Républicaine,Jura,2
PA333285,M.,Guillaume,Garot,1966-05-29,Laval,Cadre administratif,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Mayenne,1
PA335054,Mme,Marietta,Karamanli,1964-12-18,Athènes,Professeur dans l'enseignement supérieur,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Sarthe,2
PA335612,M.,Jean-Paul,Lecoq,1958-10-13,Le Havre,Électricien,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Gauche Démocrate et Républicaine,Seine-Maritime,8
PA335999,Mme,Delphine,Batho,1973-03-23,Paris,Cadre territorial,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Deux-Sèvres,2
PA340343,M.,Hervé,Saulignac,1970-11-06,Privas,Cadre (entreprises publiques),Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Ardèche,1
PA341981,Mme,Marie,Récalde,1965-03-12,Langon,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Gironde,6
PA342196,Mme,Claudia,Rouaux,1963-10-13,Sainte-Gemmes-d'Andigné,Gestionnaire à l'INRAE,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Ille-et-Vilaine,3
PA342240,M.,Jean-Luc,Bourgeaux,1963-04-10,Saint-Malo,Agriculteur,Sans profession déclarée,Sans profession déclarée,Droite Républicaine,Ille-et-Vilaine,7
PA342384,Mme,Élisa,Martin,1972-05-15,Nancy,"Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Isère,3
PA342415,Mme,Marie-Noëlle,Battistel,1956-08-20,Grenoble,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Isère,4
PA345722,Mme,Constance,Le Grip,1960-11-14,Chatou,Conseillère parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Hauts-de-Seine,6
PA346782,M.,Philippe,Juvin,1964-02-01,Orléans,Professeur de médecine,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Hauts-de-Seine,3
PA368,M.,Michel,Barnier,1951-01-09,La Tronche,Ancien Premier ministre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Paris,2
PA569,M.,Philippe,Bonnecarrère,1955-07-12,TOULOUSE,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Non inscrit,Tarn,1
PA588884,Mme,Clémentine,Autain,1973-05-26,Saint-Cloud,Journaliste et autre média,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Seine-Saint-Denis,11
PA605745,M.,Nicolas,Sansu,1968-06-17,Vierzon,Permanent politique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Gauche Démocrate et Républicaine,Cher,2
PA605782,M.,Laurent,Marcangeli,1980-12-10,Ajaccio,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Corse-du-Sud,1
PA606507,M.,Florent,Boudié,1973-09-22,Sainte-Foy-la-Grande,Cadre supérieur du secteur public,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Gironde,10
PA606545,M.,Jean-Louis,Roumégas,1962-06-06,Alger,Enseignant 1er deg.- Professeur d'école,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Écologiste et Social,Hérault,1
PA606573,Mme,Fanny,Dombre Coste,1956-12-26,Sainte-Adresse,Artisan Photographe,Artisans,"Artisans, commerçants, chefs d'entreprises",Socialistes et apparentés,Hérault,3
PA606793,M.,Laurent,Baumel,1965-08-13,Charleville-Mezières,Cadre supérieur du secteur public,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Indre-et-Loire,4
PA607090,M.,Jean-Pierre,Vigier,1969-10-22,Brioude,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Haute-Loire,2
PA607193,Mme,Sophie,Errante,1971-07-22,Nantes,Industriel-Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Non inscrit,Loire-Atlantique,10
PA607395,M.,Stéphane,Travert,1969-10-12,Carentan,Cadre secteur privé,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Manche,3
PA607553,M.,Dominique,Potier,1964-03-17,Toul,Agriculteur,Agriculteurs exploitants,Agriculteurs exploitants,Socialistes et apparentés,Meurthe-et-Moselle,5
PA607619,M.,Paul,Molac,1962-05-21,Ploermel,Professeur du secondaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Morbihan,4
PA608172,Mme,Christine,Pirès Beaune,1964-10-06,Saint-Georges-de-Mons,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Puy-de-Dôme,2
PA608264,Mme,Colette,Capdevielle,1958-10-14,Orthez,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Pyrénées-Atlantiques,5
PA608416,M.,Patrick,Hetzel,1964-07-02,Phalsbourg,Professeur des Universités,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Bas-Rhin,7
PA608826,Mme,Virginie,Duby-Muller,1979-08-16,Bonneville,Cadre du secteur privé,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Haute-Savoie,4
PA609332,M.,Olivier,Faure,1968-08-18,La Tronche,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Seine-et-Marne,11
PA610002,Mme,Eva,Sas,1970-08-13,Nice,Cadre supérieur du secteur privé,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Écologiste et Social,Paris,8
PA610654,M.,Jean-Philippe,Nilor,1965-05-15,Fort-de-France,Collaborateur parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Martinique,4
PA610968,M.,Pouria,Amirshahi,1972-03-27,Shemran,Cadre territorial de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Écologiste et Social,Paris,5
PA642695,M.,Éric,Bothorel,1966-10-20,Paimpol,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Côtes-d'Armor,5
PA642725,M.,Eric,Liégeon,1961-01-24,Pontarlier,Exploitant agricole,Agriculteurs exploitants,Agriculteurs exploitants,Droite Républicaine,Doubs,5
PA642764,M.,Joël,Aviragnet,1956-06-16,Encausse-les-Thermes,Directeur d'un établissement pour l'enfance handicapée,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Haute-Garonne,8
PA642847,M.,Thibault,Bazin,1984-10-27,Nancy,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Meurthe-et-Moselle,4
PA642935,M.,Olivier,Becht,1976-04-28,Strasbourg,Magistrat,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Haut-Rhin,5
PA642988,M.,Hervé,de Lépinau,1969-06-08,Boulogne-Billancourt,Avocat,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Vaucluse,3
PA643089,M.,Jean-Louis,Thiériot,1969-06-26,Paris 14ème,Sans profession déclarée,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Seine-et-Marne,3
PA643104,Mme,Christelle,Minard,1970-10-04,Chartres,Agricultrice,Agriculteurs exploitants,Agriculteurs exploitants,Droite Républicaine,Eure-et-Loir,2
PA643143,M.,Christian,Baptiste,1962-06-18,Pointe-à-Pitre,Directeur d'association,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Guadeloupe,2
PA643157,M.,Philippe,Naillet,1960-08-14,Saint-Denis,Inspecteur assurance-vie,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Réunion,1
PA643175,Mme,Stella,Dupont,1973-11-03,Angers,Comptable,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Non inscrit,Maine-et-Loire,2
PA643184,Mme,Brigitte,Klinkert,1956-07-22,Colmar,Ancien cadre,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Haut-Rhin,1
PA643192,Mme,Chantal,Jourdan,1958-09-02,Domfront,Psychologue,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Orne,1
PA687214,M.,Sylvain,Berrios,1968-05-06,Maisons-Alfort,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Val-de-Marne,1
PA712014,M.,Vincent,Ledoux,1966-06-21,Watermael Boitsfort,Sans profession déclarée,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Nord,10
PA712015,M.,Julien,Dive,1985-05-21,Saint Quentin,Chef de projet dans l'industrie,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Aisne,2
PA717161,Mme,Élisabeth,Borne,1961-04-18,Paris,Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Calvados,6
PA717379,M.,Sylvain,Maillard,1974-04-28,Saint-Maur-des-Fossés,Industriel-Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Paris,1
PA718674,Mme,Olga,Givernet,1981-10-17,Saint-Germain-en-Laye,Ingénieure,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Ain,3
PA718784,M.,Éric,Pauget,1970-08-18,Antibes,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Alpes-Maritimes,7
PA718820,Mme,Pauline,Cestrières,1977-03-24,Rodez,Agricultrice,Agriculteurs exploitants,Agriculteurs exploitants,Ensemble pour la République,Aveyron,1
PA718838,M.,Fabrice,Brun,1968-04-02,Avignon,Industriel-Chef d'entreprise,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Droite Républicaine,Ardèche,3
PA718850,M.,Pierre,Cordier,1972-05-27,Charleville-Mézières,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Ardennes,2
PA718884,Mme,Valérie,Bazin-Malgras,1969-10-31,Romilly-sur-Seine,Commerçante,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Droite Républicaine,Aube,2
PA719024,M.,Christophe,Blanchet,1973-04-09,Caen,Commerçant,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Les Démocrates,Calvados,4
PA719032,M.,Bertrand,Bouyx,1970-05-26,Juvisy-sur-Orge,Pharmacien,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Horizons & Indépendants,Calvados,5
PA719052,M.,Loïc,Kervran,1984-02-11,Moulins,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Cher,3
PA719080,Mme,Sandra,Marsaud,1974-01-02,Périgueux,Cadre (entreprises publiques),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Charente,2
PA719118,M.,François,Cormier-Bouligeon,1972-11-19,Bourges,Juriste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Cher,1
PA719138,M.,Michel,Castellani,1945-09-28,Bastia,Professeur des Universités,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Haute-Corse,1
PA719218,M.,Hervé,Berville,1990-01-15,Madanzh Buhimga,Economiste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Côtes-d'Armor,2
PA719272,Mme,Frédérique,Meunier,1960-12-08,Paris,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Droite Républicaine,Corrèze,2
PA719286,M.,Paul-André,Colombani,1967-08-17,Bastia,Médecin,Professions libérales,Cadres et professions intellectuelles supérieures,"Libertés, Indépendants, Outre-mer et Territoires",Corse-du-Sud,2
PA719338,Mme,Graziella,Melchior,1960-04-06,Brest,Professeure agrégée,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Finistère,5
PA719372,M.,Guillaume,Kasbarian,1987-02-28,Marseille,Consultant en stratégie d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Eure-et-Loir,1
PA719388,Mme,Annaïg,Le Meur,1973-04-29,Brest,Autre profession libérale,Artisans,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Finistère,1
PA719404,M.,Didier,Le Gac,1965-07-19,Castres,Profession rattachée à l'enseignement,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Finistère,3
PA719412,Mme,Sandrine,Le Feur,1991-03-18,Saint-Brieuc,Agriculteur-propriétaire exploitant,Agriculteurs exploitants,Agriculteurs exploitants,Ensemble pour la République,Finistère,4
PA719436,M.,Nicolas,Meizonnet,1983-12-22,Nîmes,Ingénieur en informatique,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Gard,2
PA719472,M.,Jean-René,Cazeneuve,1958-06-09,Paris,Ingénieur,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Gers,1
PA719512,Mme,Corinne,Vignon,1963-06-10,Agen,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Haute-Garonne,3
PA719528,M.,Jean-François,Portarrieu,1965-10-14,Toulouse,Journaliste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Haute-Garonne,5
PA719550,Mme,Liliana,Tanguy,1967-03-12,Pancevo,Cadre supérieur du secteur public,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Finistère,7
PA719558,M.,Erwan,Balanant,1971-02-21,Lorient,Photographe et réalisateur,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Finistère,8
PA719578,M.,Loïc,Prud'homme,1969-08-19,Bègles,Fonctionnaire de catégorie B,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,La France insoumise - Nouveau Front Populaire,Gironde,3
PA719632,Mme,Sophie,Panonacle,1968-12-16,Bordeaux,Sans profession déclarée,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Gironde,8
PA719640,Mme,Sophie,Mette,1959-09-13,Montauban,Sans profession déclarée,Sans profession déclarée,Sans profession déclarée,Les Démocrates,Gironde,9
PA719756,Mme,Christine,Le Nabour,1964-10-28,Noisy-le-Sec,Employée (secteur privé),Personnels des services directs aux particuliers,Employés,Ensemble pour la République,Ille-et-Vilaine,5
PA719778,M.,François,Jolivet,1966-03-21,Chateauroux,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Indre,1
PA719798,M.,Daniel,Labaronne,1955-07-16,Paris,Retraité de l'enseignement supérieur,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Indre-et-Loire,2
PA719822,Mme,Sabine,Thillaye,1959-05-18,Remscheid,Ancien Chef d'entreprise,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Les Démocrates,Indre-et-Loire,5
PA719890,Mme,Danielle,Brulebois,1947-07-04,Longwy-sur-le-Doubs,Retraitée de l'enseignement,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Jura,1
PA719914,Mme,Geneviève,Darrieussecq,1956-03-04,Dax,médecin,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Landes,1
PA719922,M.,Lionel,Causse,1971-05-06,Toulouse,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Landes,2
PA719930,M.,Boris,Vallaud,1975-07-25,Beyrouth,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Socialistes et apparentés,Landes,3
PA719938,M.,Marc,Fesneau,1971-01-11,Paris,Ministre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Loir-et-Cher,1
PA719968,Mme,Sylvie,Bonnet,1969-12-21,Saint-Just-Saint-Rambert,Collaboratrice parlementaire,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Loire,4
PA720022,M.,Michel,Lauzzana,1957-03-20,Castelsarrasin,Médecin,Professions libérales,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Lot-et-Garonne,1
PA720038,Mme,Sandrine,Josso,1975-09-19,Guérande,Autre profession libérale,Professions libérales,Cadres et professions intellectuelles supérieures,Les Démocrates,Loire-Atlantique,7
PA720092,M.,Richard,Ramos,1968-03-23,Blois,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Loiret,6
PA720100,M.,Aurélien,Pradié,1986-03-14,Cahors,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Non inscrit,Lot,1
PA720138,Mme,Laetitia,Saint-Paul,1981-01-21,Chartres,Officier de l'armée de Terre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Maine-et-Loire,4
PA720146,M.,Denis,Masséglia,1981-04-11,Nice,Ingénieur Arts et métiers,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Maine-et-Loire,5
PA720154,Mme,Nicole,Dubré-Chirat,1951-12-18,Felletin,Retraitée de la fonction publique hospitalière et chargée de formation,Sans profession déclarée,Sans profession déclarée,Ensemble pour la République,Maine-et-Loire,6
PA720190,M.,Bertrand,Sorre,1965-05-08,Cherbourg,Enseignant 1er degré-directeur d'école (en disponibilité),"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,Ensemble pour la République,Manche,2
PA720230,Mme,Lise,Magnier,1984-12-31,Châlons-sur-Marne,Cadre territorial,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Marne,4
PA720256,Mme,Géraldine,Bannier,1979-11-22,Laval,Professeur du secondaire et technique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Les Démocrates,Mayenne,2
PA720334,M.,Jimmy,Pahun,1962-05-15,Paris,Navigateur,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Les Démocrates,Morbihan,2
PA720342,Mme,Nicole,Le Peih,1959-09-28,Pontivy,Agricultrice,Agriculteurs exploitants,Agriculteurs exploitants,Ensemble pour la République,Morbihan,3
PA720354,M.,Jean-Michel,Jacques,1968-02-29,Metz,Infirmier des forces spéciales,"Professions de l’enseignement primaire et professionnel, de la formation continue et du sport",Professions intermédiaires,Ensemble pour la République,Morbihan,6
PA720362,M.,Belkhir,Belhaddad,1969-07-09,Timgad,Industriel-Chef d'entreprise,Chefs d'entreprise de plus de 10 personnes,"Artisans, commerçants, chefs d'entreprises",Socialistes et apparentés,Moselle,1
PA720370,M.,Ludovic,Mendes,1987-04-11,Metz,Cadre supérieur (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Ensemble pour la République,Moselle,2
PA720390,M.,Jérôme,End,1979-04-09,Essey-Lès-Nancy,Chargé de mission et d'études,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,Droite Républicaine,Moselle,4
PA720430,M.,Ugo,Bernalicis,1989-09-25,Arras,Fonctionnaire de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,La France insoumise - Nouveau Front Populaire,Nord,2
PA720446,Mme,Brigitte,Liso,1959-07-29,Lille,Commerçant,Commerçants et assimilés,"Artisans, commerçants, chefs d'entreprises",Ensemble pour la République,Nord,4
PA720468,M.,Sébastien,Chenu,1973-04-13,Beauvais,Conseiller en communication,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Rassemblement National,Nord,19
PA720480,Mme,Charlotte,Parmentier-Lecocq,1977-07-17,Pointe-à-Pitre,Industriel-Chef d'entreprise,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Nord,6
PA720552,Mme,Isabelle,Rauch,1968-08-10,Villers-Semeuse,Consultante,Professions libérales,Cadres et professions intellectuelles supérieures,Horizons & Indépendants,Moselle,9
PA720560,Mme,Perrine,Goulet,1978-03-19,Nevers,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,Les Démocrates,Nièvre,1
PA720614,Mme,Marine,Le Pen,1968-08-05,Neuilly-sur-Seine,Avocate,Professions libérales,Cadres et professions intellectuelles supérieures,Rassemblement National,Pas-de-Calais,11
