uid,civilite,prenom,nom,date_naissance,ville_naissance,groupe_politique,departement,circonscription,profession_declaree,insee_cat_socpro,insee_fam_socpro,wikidata_url,frwiki_url,plus_haut_diplome,domaines_etudes,a_travaille_prive,a_travaille_public,carriere_politique_seule,profil_carriere,confiance,notes
PA841495,M.,Maxime,Amblard,1996-09-06,L'Isle-d'Espagnac,Rassemblement National,Meuse,1,(38) - Ingénieur et cadre technique d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q127253515,https://fr.wikipedia.org/wiki/Maxime_Amblard,bac+5,ingenierie | sciences,1,0,0,prive_uniquement,haute,Également représentant syndical CFDT chez Framatome.
PA794138,Mme,Ségolène,Amiot,1986-02-23,Chatenay-Malabry,La France insoumise - Nouveau Front Populaire,Loire-Atlantique,3,Employé administratif d'entreprise,Employés administratifs d'entreprise,Employés,http://www.wikidata.org/entity/Q112650690,https://fr.wikipedia.org/wiki/S%C3%A9gol%C3%A8ne_Amiot,bac_ou_moins,,1,0,0,prive_uniquement,moyenne,"A abandonné des études d'ostéopathie faute de moyens financiers, sans obtenir de diplôme."
PA610968,M.,Pouria,Amirshahi,1972-03-27,Shemran,Écologiste et Social,Paris,5,Cadre territorial de catégorie A,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3400568,https://fr.wikipedia.org/wiki/Pouria_Amirshahi,bac+3_4,droit | economie,0,1,0,public_uniquement,moyenne,"Sa fiche IRIS indique qu'il est diplome en droit et en administration economique et sociale (AES) a Paris 1 Pantheon-Sorbonne, sans preciser le niveau exact (licence/maitrise); il a ete president de l'Unef-ID pendant ses etudes (source: https://www.iris-france.org/en/chercheurs/pouria-amirshahi-2/)."
PA795588,Mme,Farida,Amrani,1976-09-03,Ajdir,La France insoumise - Nouveau Front Populaire,Essonne,1,Cadre de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,http://www.wikidata.org/entity/Q40289093,https://fr.wikipedia.org/wiki/Farida_Amrani,bac+2,gestion-commerce,0,1,0,public_uniquement,haute,Engagement syndical (CGT) mentionné mais non détaillé comme emploi.
PA721158,M.,Pieyre-Alexandre,Anglade,1986-11-02,Paris,Ensemble pour la République,Français établis hors de France,4,Agent contractuel au Parlement européen,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342405,https://fr.wikipedia.org/wiki/Pieyre-Alexandre_Anglade,bac+5,lettres-sciences humaines | sciences politiques,0,0,1,politique_principalement,haute,
PA795084,M.,Rodrigo,Arenas,1974-04-24,El Almendral,La France insoumise - Nouveau Front Populaire,Paris,10,Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q109043455,https://fr.wikipedia.org/wiki/Rodrigo_Arenas_(homme_politique),bac+5,economie | communication-journalisme,0,1,0,public_uniquement,haute,A aussi eu un engagement associatif marqué (coprésidence de la FCPE) avant son mandat.
PA842105,M.,Raphaël,Arnault,1995-01-08,Lyon,La France insoumise - Nouveau Front Populaire,Vaucluse,1,(52) - Employé civil et agent de service de la fonction publique,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,http://www.wikidata.org/entity/Q116870344,https://fr.wikipedia.org/wiki/Rapha%C3%ABl_Arnault,bac+3_4,sciences-politiques,0,1,0,public_uniquement,haute,"StreetPress confirme qu'il a obtenu une licence de sciences politiques à l'université Lumière Lyon 2 (débutée en 2014). Sa carrière professionnelle avant le mandat est celle d'assistant d'éducation (fonction publique) dans deux lycées lyonnais, confirmée par sa déclaration HATVP avec dates et rémunérations précises. Son activité militante (Jeune Garde antifasciste) n'est pas un emploi salarié."
PA793780,Mme,Christine,Arrighi,1959-09-19,Lannemezan,Écologiste et Social,Haute-Garonne,9,Ancien cadre,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112650093,https://fr.wikipedia.org/wiki/Christine_Arrighi,bac+5,sciences politiques,0,1,0,public_uniquement,haute,
PA722190,M.,Gabriel,Attal,1989-03-16,Clamart,Ensemble pour la République,Hauts-de-Seine,10,Consultant,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30339350,https://fr.wikipedia.org/wiki/Gabriel_Attal,bac+5,sciences politiques,0,0,1,politique_principalement,haute,A étudié le droit à Assas pendant trois ans sans obtenir la licence.
PA588884,Mme,Clémentine,Autain,1973-05-26,Saint-Cloud,Écologiste et Social,Seine-Saint-Denis,11,Journaliste et autre média,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q2980738,https://fr.wikipedia.org/wiki/Cl%C3%A9mentine_Autain,bac+5,lettres-sciences humaines,1,0,0,politique_principalement,moyenne,"Activité de journaliste/écrivaine connue via la profession déclarée, non détaillée dans la biographie qui insiste sur son parcours de collaboratrice politique."
PA796118,Mme,Bénédicte,Auzanot,1972-08-05,Besançon,Rassemblement National,Vaucluse,2,(85) - Personne diverse sans activité professionnelle de moins de 60 ans (sauf r,Sans profession déclarée,Sans profession déclarée,http://www.wikidata.org/entity/Q112653224,https://fr.wikipedia.org/wiki/B%C3%A9n%C3%A9dicte_Auzanot,inconnu,,1,0,0,prive_uniquement,moyenne,"Ni sa fiche HATVP (aucune activité professionnelle antérieure déclarée, uniquement mandats électifs depuis 2022) ni l'Assemblée nationale ne détaillent son parcours pré-politique. Un article de France Bleu / ici.fr (2020) la présente comme 'ancienne assistante juridique' ; d'autres agrégateurs évoquent aussi 'conseillère en image'. Nom du cabinet employeur non retrouvé, d'où confiance moyenne malgré une source de presse fiable et directement consultée. Aucune information sur ses études. - Fiche HATVP relue en local : la liste « activites » est entièrement vide (aucune activité professionnelle antérieure déclarée), ce qui confirme l'absence de corroboration officielle déjà notée au tour précédent. La fiche AN ne donne que la catégorie socio-professionnelle déclarée. Élément nouveau et non concluant : la page de liste Wikipédia « Femmes à l'Assemblée nationale française » (wikitext brut consulté) classe sa profession en « Consultante en communication » dans le tableau de la XVIIe législature (contre « Sans activité professionnelle » dans un tableau d'une législature antérieure) — cette ligne n'est pas sourcée dans la liste elle-même et n'a pas pu être vérifiée par une source primaire, mais elle recoupe la mention « conseillère en image » déjà relevée par le chercheur précédent auprès d'agrégateurs non vérifiés. Je ne l'intègre donc pas comme fait établi ; la carrière retenue reste celle d'assistante juridique, seule confirmée par une source de presse fiable (France Bleu/ici.fr, déjà consultée au tour précédent). Aucune information sur ses études."
PA642764,M.,Joël,Aviragnet,1956-06-16,Encausse-les-Thermes,Socialistes et apparentés,Haute-Garonne,8,Directeur d'un établissement pour l'enfance handicapée,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q17350680,https://fr.wikipedia.org/wiki/Jo%C3%ABl_Aviragnet,bac+5,sociologie,1,0,0,prive_uniquement,haute,"Carrière et formation exceptionnellement bien documentées par l'article Wikipédia (sections « Études » et « Carrière d'éducateur spécialisé » dédiées) : bac B (1974), école d'éducateurs spécialisés à Dijon (diplômé 1979), carrière d'éducateur spécialisé puis chef de service puis adjoint de direction dans des ITEP (établissements médico-sociaux de statut associatif) du Comminges, de Bordeaux et d'Aspet, obtention du CAFDES (diplôme de directeur) après une formation à l'École nationale de la santé publique, puis directeur de La Grande Allée à Toulouse jusqu'à son élection comme député (2014). Secteur associatif classé « prive_uniquement » faute de catégorie dédiée dans le référentiel de synthèse (les ITEP sont des établissements médico-sociaux de statut associatif, non des services de l'État)."
PA841701,Mme,Léa,Balage El Mariky,1990-04-09,Evry,Écologiste et Social,Paris,3,(37) - Cadre administratif et commercial d'entreprise,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q112526631,https://fr.wikipedia.org/wiki/L%C3%A9a_Balage_El_Mariky,bac+5,droit | sciences politiques,0,0,1,politique_principalement,moyenne,"Certains éléments (entrée à Sciences Po, échec au concours de l'ENA) sont signalés comme non sourcés dans la biographie."
PA719558,M.,Erwan,Balanant,1971-02-21,Lorient,Les Démocrates,Finistère,8,Photographe et réalisateur,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30348579,https://fr.wikipedia.org/wiki/Erwan_Balanant,bac+3_4,lettres-sciences humaines | arts,1,0,0,prive_uniquement,moyenne,"A aussi été athlète de haut niveau (saut en hauteur) avant sa reconversion, statut professionnel non précisé."
PA794562,M.,Philippe,Ballard,1960-11-24,Champigny-sur-Marne,Rassemblement National,Oise,2,Ancien journaliste,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q106635078,https://fr.wikipedia.org/wiki/Philippe_Ballard,bac+3_4,communication-journalisme,1,1,0,mixte_public_prive,haute,
PA842279,Mme,Anchya,Bamana,1971-03-12,Sada,Rassemblement National,Mayotte,2,(33) - Cadre de la fonction publique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q65564667,https://fr.wikipedia.org/wiki/Anchya_Bamana,bac+3_4,medecine-sante,0,1,0,public_uniquement,moyenne,"Sa fiche HATVP documente précisément son poste rémunéré d'inspectrice de l'action sanitaire et sociale à l'ARS Mayotte (2019-2024, fonction publique), cohérent avec la profession déclarée 'cadre de la fonction publique'. Wikipédia (en) confirme qu'elle est infirmière de formation ('trained as a nurse') sans préciser l'établissement. Des sources secondaires (non vérifiées via fetch direct) évoquent un diplôme en santé publique à l'université Henri Poincaré de Nancy, information que je n'ai pas pu confirmer par une source primaire — je m'en tiens donc à l'inférence réglementée standard (infirmière = diplôme d'État, bac+3_4), d'où confiance plafonnée à moyenne conformément à la règle sur les inférences de profession réglementée."
PA720256,Mme,Géraldine,Bannier,1979-11-22,Laval,Les Démocrates,Mayenne,2,Professeur du secondaire et technique,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30339354,https://fr.wikipedia.org/wiki/G%C3%A9raldine_Bannier,bac+3_4,lettres-sciences humaines | education,0,1,0,public_uniquement,haute,
PA643143,M.,Christian,Baptiste,1962-06-18,Pointe-à-Pitre,Socialistes et apparentés,Guadeloupe,2,Directeur d'association,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q63610735,https://fr.wikipedia.org/wiki/Christian_Baptiste,bac+3_4,lettres-sciences humaines | education,0,0,0,public_uniquement,basse,"Sources consultées : article Wikipédia (très bref, centré sur sa carrière politique : maire de Sainte-Anne 2014-2022, député depuis 2022) ; déclaration HATVP (fichier local, 3 déclarations) qui ne mentionne aucune activité professionnelle rémunérée nommée (postes/employeurs déclarés « NON »/« NEANT » pour la rubrique activités professionnelles ; seules figurent des fonctions de dirigeant/administrateur non rémunérées dans des structures locales : SPL Sainte Anne 2.00, Syndicat mixte des transports, association « Force d'Action pour le Rassemblement et le Développement de Sainte Anne », probablement liées à son mandat de maire plutôt qu'à un emploi). La fiche AN (assemblee-nationale.fr) et la page HATVP directe n'ont pas restitué de texte exploitable en statique. Une note d'un précédent passage de recherche évoquait un parcours de « professeur de lettres modernes » avant de devenir directeur d'association, attribué à « plusieurs médias guadeloupéens » sans URL fournie : je n'ai pas pu retrouver ni vérifier cette source (moteurs de recherche indisponibles dans cette session), donc je ne la retiens pas comme fait établi. Profession déclarée officielle « Directeur d'association », sans nom d'organisme identifié."
PA368,M.,Michel,Barnier,1951-01-09,La Tronche,Droite Républicaine,Paris,2,Ancien Premier ministre,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q438465,https://fr.wikipedia.org/wiki/Michel_Barnier,bac+5,gestion-commerce | sciences politiques,0,0,1,politique_principalement,haute,
PA840829,M.,Fabrice,Barusseau,1970-06-01,Saintes,Socialistes et apparentés,Charente-Maritime,3,"(34) - Professeur, profession scientifique",Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q63765892,https://fr.wikipedia.org/wiki/Fabrice_Barusseau,bac+3_4,enseignement,0,1,0,public_uniquement,moyenne,"Sa fiche HATVP le déclare 'enseignant' au sein de l'Éducation nationale depuis janvier 2019 (avec rémunération), et plusieurs sources (Wikipédia, fiche du collège Beauregard de Burie) précisent qu'il enseigne la technologie à ce collège. Un professeur titulaire de technologie en collège suppose la réussite d'un concours (CAPES/CAPLP) impliquant au minimum une licence, d'où l'inférence bac+3_4 ; confiance plafonnée à moyenne car il s'agit d'une inférence de profession réglementée, aucun diplôme nommé n'ayant été trouvé (recherches sur IUFM/ESPÉ, whoswho.fr et Trombinoscope infructueuses ou payantes)."
PA267763,M.,Jean-Pierre,Bataille,1963-10-24,Hazebrouck,"Libertés, Indépendants, Outre-mer et Territoires",Nord,15,Pharmacien,Professions libérales,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q63106692,https://fr.wikipedia.org/wiki/Jean-Pierre_Bataille,doctorat,medecine-sante,1,0,0,prive_uniquement,moyenne,"Déclaration HATVP (fichier local, 5 déclarations) confirme « GERANT PHARMACIE » à la SELARL Pharmacie Bataille depuis 09/2016, cohérent avec la profession déclarée « Pharmacien ». Wikipédia confirme qu'il a repris l'officine de son père Jean-Paul Bataille (lui-même pharmacien, sénateur et maire de Steenvoorde) ; le wikitexte de l'article le classe dans la catégorie « Étudiant de l'université Lille-II » (qui abrite la faculté de pharmacie régionale), établissement cohérent avec sa région d'origine (Nord). Le diplôme de docteur en pharmacie est requis légalement pour être titulaire d'une officine, mais aucune source ne précise explicitement l'année d'obtention ni l'intitulé exact du diplôme — inférence de profession réglementée, confiance ramenée à moyenne malgré l'établissement identifié."
PA335999,Mme,Delphine,Batho,1973-03-23,Paris,Écologiste et Social,Deux-Sèvres,2,Cadre territorial,Cadres administratifs et techniques de la fonction publique,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q291385,https://fr.wikipedia.org/wiki/Delphine_Batho,bac_ou_moins,,0,0,0,politique_principalement,moyenne,"Baccalauréat obtenu en 1992, études d'histoire à Paris-7 entamées puis abandonnées ; carrière faite de militantisme associatif puis de fonctions politiques."
PA342415,Mme,Marie-Noëlle,Battistel,1956-08-20,Grenoble,Socialistes et apparentés,Isère,4,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3292159,https://fr.wikipedia.org/wiki/Marie-No%C3%ABlle_Battistel,inconnu,,1,0,0,prive_uniquement,haute,"Aucun diplôme ni établissement d'études retrouvé malgré plusieurs recherches (whoswho.fr inaccessible en scraping, autres biographies muettes sur ce point). Carrière professionnelle en revanche bien établie et documentée dans le lot précédent : cofondatrice en 1977 et directrice jusqu'en 2021 de MNJ Voyages, confirmée par la déclaration HATVP (poste, dates, rémunérations) qui couvre la fin de cette activité. - Aucun diplôme ni établissement d'études retrouvé (whoswho.fr non re-testé, toujours inaccessible en scraping ; wikitext brut Wikipédia muet sur ce point, fiche AN idem). Relecture du JSON HATVP local : la déclaration la plus ancienne fait remonter l'activité de directrice de MNJ Voyages à janvier 2011 (et non 2019 comme retenu au tour précédent), avec fin en avril 2021, confirmant la cession de l'entreprise à cette date."
PA793374,M.,Romain,Baubry,1989-01-28,Mont-saint-Aignan,Rassemblement National,Bouches-du-Rhône,15,Policier et militaire,"Employés administratifs de la fonction publique, agents de service et auxiliaires de santé",Employés,http://www.wikidata.org/entity/Q112640513,https://fr.wikipedia.org/wiki/Romain_Baubry,inconnu,armee-securite,0,1,0,public_uniquement,haute,"Extrait Wikipédia déjà consulté : fils de fleuristes, engagé comme gendarme adjoint volontaire à 18 ans (2 ans), puis surveillant pénitentiaire, puis policier à Nîmes — carrière entièrement dans la fonction publique de sécurité. D'autres sources secondaires (non vérifiées directement) ajoutent des détails (unité PSIG, police municipale de Vitrolles, brigade de nuit de Cavaillon) que je n'ai pas pu confirmer par une source primaire fetchée, donc non repris tels quels dans les entrées 'career' ci-dessus. Aucune information sur le niveau d'études au-delà du fait que ces métiers s'entrent généralement au niveau bac ; pas de diplôme précis trouvé, donc diplôme laissé à inconnu plutôt que de deviner un niveau. - Carrière précisée et corrigée grâce au JSON HATVP local, non consulté lors du tour précédent : elle documente très précisément trois postes successifs (policier municipal à Vitrolles 01/2017-09/2019, puis à Cavaillon 09/2019-10/2021, puis élève gardien de la paix au ministère de l'Intérieur 11/2021-06/2022), ce qui remplace avantageusement la mention vague « policier à Nîmes » de Wikipédia, non datée et non confirmée par le HATVP — je ne la reprends donc plus telle quelle, la donnée HATVP étant plus précise et primaire. En amont, gendarme adjoint volontaire puis surveillant pénitentiaire restent connus uniquement par Wikipédia (période antérieure à la fenêtre HATVP). Toujours aucune information sur son niveau d'études : les métiers occupés (gendarme adjoint volontaire, policier municipal, gardien de la paix) ne figurent pas dans la liste des professions réglementées permettant une inférence de diplôme fiable."
PA606793,M.,Laurent,Baumel,1965-08-13,Charleville-Mezières,Socialistes et apparentés,Indre-et-Loire,4,Cadre supérieur du secteur public,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q3219028,https://fr.wikipedia.org/wiki/Laurent_Baumel,bac+5,ingenierie | sciences-politiques,0,1,0,public_uniquement,haute,"Portrait de presse dédié de La Nouvelle République (1er juillet 2012), consulté et vérifié directement (texte réellement présent sur la page, pas un résumé fabriqué) : « Ingénieur centralien formé à Lyon ; diplômé de Sciences Po. Ancien président du syndicat Unef-Id. Attaché parlementaire de Roland Carras (1992-1993). Ancien conseiller technique de Pierre Moscovici alors ministre des Affaires européennes. Économiste à la Banque de France et directeur adjoint de la balance des paiements. Secrétaire national adjoint au Parti socialiste [...] Élu maire de Ballan-Miré en 2008. » L'article précise aussi qu'il est « désormais détaché de la Banque de France » lors de son élection comme député en 2012, confirmant que la Banque de France était son employeur principal jusqu'à son entrée à l'Assemblée. Wikidata corrobore les deux établissements (École centrale de Lyon, IEP Paris). Carrière mêlant secteur public (Banque de France, l'essentiel de sa carrière professionnelle non élective) et rôles politiques (attaché parlementaire, conseiller ministériel, parti) — classée « public_uniquement » conformément à la convention retenue dans ce jeu de données lorsque les secteurs « public » et « politique » coexistent sans secteur privé."
PA642847,M.,Thibault,Bazin,1984-10-27,Nancy,Droite Républicaine,Meurthe-et-Moselle,4,Autre cadre (secteur privé),Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30342506,https://fr.wikipedia.org/wiki/Thibault_Bazin,bac+5,sciences politiques | gestion-commerce,1,0,0,prive_uniquement,moyenne,Employeur et dates de son activité d'urbaniste non précisés par la source.
PA718884,Mme,Valérie,Bazin-Malgras,1969-10-31,Romilly-sur-Seine,Droite Républicaine,Aube,2,Commerçante,Cadres des services administratifs et commerciaux d’entreprise,Cadres et professions intellectuelles supérieures,http://www.wikidata.org/entity/Q30333733,https://fr.wikipedia.org/wiki/Val%C3%A9rie_Bazin-Malgras,inconnu,,1,0,0,prive_uniquement,haute,"Aucune information sur son parcours d'études trouvée malgré plusieurs recherches (BTS, whoswho.fr inaccessible en scraping). Sa carrière professionnelle est en revanche bien documentée et cohérente entre plusieurs sources : elle a dirigé pendant vingt ans les magasins Villeroy & Boch de Troyes, devenant directrice France des magasins d'usine en 2003, avant de présider l'association des commerçants de marques à Troyes. - Aucune information sur son parcours d'études trouvée (BTS non confirmé, whoswho.fr toujours inaccessible en scraping, fiche AN muette). Deux nouveaux éléments de carrière extraits du JSON HATVP local (rubrique « dirigeant », absente du lot précédent) : elle est dirigeante bénévole de l'association « La Maison du Boulanger - Centre Culturel » à Troyes depuis juin 2017, et de l'association « Génération Entreprise - Entrepreneurs Associés » depuis septembre 2021. J'ai vérifié la nature juridique de ces deux structures via l'API officielle recherche-entreprises.api.gouv.fr : toutes deux sont des associations déclarées (et non des sociétés commerciales), d'où le classement en secteur associatif plutôt que privé — il s'agit d'engagements bénévoles parallèles à son mandat local, non de son activité professionnelle principale (qui reste Villeroy & Boch), donc le profil de carrière reste « prive_uniquement »."
